DATOS GENERALES,
,
Cliente,Cliente ejemplo SAC
Proyecto,Remodelación Oficinas Piso 3
Código,VAL-001
Ubicación,"Lima, Perú"
Contratista / Proveedor,Contratista Ejemplo SRL
Supervisor / Responsable,Arq. Responsable
Moneda,S/.
Monto contratado,"S/. 150,000.00"
Periodicidad de valorización,Mes
N.° de valorización,1
Periodo valorizado,Mes 1
Fecha de corte,2026-03-16
Fecha de emisión,2026-03-20
Fecha de inicio contractual,2026-03-21
Plazo contractual (días),90
Estado de valorización,Borrador
Observaciones generales,Plantilla base editable.
